time,price
2021-12-13 18:16:05,3834.151216537254
2021-12-14 18:16:05,3784.676852235972
2021-12-15 18:16:05,3748.772394131629
2021-12-16 18:16:05,4061.3843774831817
2021-12-17 18:16:05,3865.7201704831073
2021-12-18 18:16:06,3945.273079191396
2021-12-19 18:16:05,3914.2133750340217
2021-12-20 18:16:06,3821.223770271247
2021-12-21 18:16:06,3962.1883306059417
2021-12-22 18:16:06,3988.0829071570693
2021-12-23 18:16:06,4065.6052970609503
2021-12-24 18:16:09,4103.905897108447
2021-12-25 18:16:06,4079.759842392101
2021-12-26 18:16:06,4073.092238606178
2021-12-27 18:16:05,4121.085398700162
2021-12-28 18:16:05,3807.398379707734
2021-12-29 18:16:06,3764.43800273719
2021-12-30 18:16:06,3739.881421293175
2021-12-31 18:16:06,3715.067963456893
2022-01-01 18:16:07,3756.240202568396
2022-01-02 18:16:05,3820.6934459926506
2022-01-03 18:16:06,3762.3809417995335
2022-01-04 18:16:06,3853.469084428519
2022-01-05 18:16:06,3738.3886432015997
2022-01-06 18:16:05,3436.8655366410467
2022-01-07 18:16:06,3203.5758066339995
2022-01-08 18:16:05,3030.386637253907
2022-01-09 18:16:06,3171.2538752465803
2022-01-10 18:16:05,3023.727277572673
2022-01-11 18:16:05,3236.1024203277525
2022-01-12 18:16:05,3369.8000136778064
2022-01-13 18:16:05,3289.8422525091387
2022-01-14 18:16:05,3288.1944503218706
2022-01-15 18:16:05,3345.2930028493406
2022-01-16 18:16:06,3352.0942346118345
2022-01-17 18:16:05,3192.413130087488
2022-01-18 18:16:05,3111.090640725549
2022-01-19 18:16:06,3155.7804272189283
2022-01-20 18:16:06,3226.233386729197
2022-01-21 18:16:05,2804.1106818397334
2022-01-22 18:16:08,2371.840934097221
2022-01-23 18:16:06,2437.655497363889
2022-01-24 18:16:06,2391.426122616265
2022-01-25 18:16:05,2478.015573609102
2022-01-26 18:16:06,2585.2894151138885
2022-01-27 18:16:06,2443.221912780426
2022-01-28 18:16:07,2472.719564939901
2022-01-29 18:16:06,2573.884420942767
2022-01-30 18:16:06,2626.074761512475
2022-01-31 18:16:06,2677.3237950100656
2022-02-01 18:16:05,2783.553607817338
2022-02-02 18:16:05,2681.216632656884
2022-02-03 18:16:05,2608.9427399579504
2022-02-04 18:16:06,2947.976012141724
