time,price
2021-12-13 18:16:05,47661.76637883537
2021-12-14 18:16:05,46955.31674003415
2021-12-15 18:16:05,47301.806569445995
2021-12-16 18:16:05,48327.37165986648
2021-12-17 18:16:05,46818.76565741466
2021-12-18 18:16:06,46773.35000853612
2021-12-19 18:16:05,47037.11042394993
2021-12-20 18:16:06,46168.495059695895
2021-12-21 18:16:06,48483.881938365215
2021-12-22 18:16:06,48791.94406975795
2021-12-23 18:16:06,50271.93892622387
2021-12-24 18:16:08,51246.124474150216
2021-12-25 18:16:06,50945.651737464366
2021-12-26 18:16:06,50293.43179977666
2021-12-27 18:16:05,51879.09422556934
2021-12-28 18:16:05,47970.36008026967
2021-12-29 18:16:05,47674.295688700775
2021-12-30 18:16:06,47606.56644030036
2021-12-31 18:16:06,46921.51165533911
2022-01-01 18:16:05,47784.673549276085
2022-01-02 18:16:05,47304.54956002606
2022-01-03 18:16:06,46677.235544864416
2022-01-04 18:16:06,46722.196510445545
2022-01-05 18:16:06,45779.14967993562
2022-01-06 18:16:05,43226.17732165803
2022-01-07 18:16:06,41960.97158257997
2022-01-08 18:16:05,40800.20215103799
2022-01-09 18:16:06,42148.545310647976
2022-01-10 18:16:05,41279.75766102669
2022-01-11 18:16:05,42545.46713216152
2022-01-12 18:16:05,43725.228357627835
2022-01-13 18:16:05,42863.61587142538
2022-01-14 18:16:05,42917.93282582831
2022-01-15 18:16:05,43327.93013871824
2022-01-16 18:16:05,43125.35345572496
2022-01-17 18:16:05,42042.81033185961
2022-01-18 18:16:05,41617.618350428704
2022-01-19 18:16:06,42223.258723301384
2022-01-20 18:16:06,42987.954274811214
2022-01-21 18:16:05,38609.89967804583
2022-01-22 18:16:07,34637.68877952311
2022-01-23 18:16:06,35374.036085856715
2022-01-24 18:16:06,35972.16044979873
2022-01-25 18:16:05,37355.07431248162
2022-01-26 18:16:06,37899.065856932975
2022-01-27 18:16:06,36288.52824998698
2022-01-28 18:16:06,37001.843344540735
2022-01-29 18:16:06,37727.645169976095
2022-01-30 18:16:06,38130.234034112334
2022-01-31 18:16:06,38396.48589794608
2022-02-01 18:16:05,38873.01691247847
2022-02-02 18:16:05,37465.15753162484
2022-02-03 18:16:05,36672.352944071434
2022-02-04 18:16:06,40337.036235865664
